Datetime,Open,High,Low,Close,Volume,1,2,3,4,5,6
1632545100000,42751.34,42770.00,42668.81,42724.97,594.060,1632545399999,25370031.18392,6516,247.711,10578742.70648,0
1632545400000,42720.88,42727.91,42629.03,42648.34,551.304,1632545699999,23526533.95104,5848,181.721,7756021.03066,0
1632545700000,42648.33,42729.26,42648.33,42667.40,307.422,1632545999999,13124432.87062,4785,175.689,7500549.86751,0
1632546000000,42667.41,42800.00,42654.01,42776.88,792.050,1632546299999,33858353.32466,7152,486.449,20799610.60245,0
1632546300000,42776.88,42825.46,42699.97,42699.97,519.697,1632546599999,22232062.07083,5414,256.558,10976955.94893,0
1632546600000,42699.98,42699.98,42400.00,42411.04,2211.316,1632546899999,94020223.21699,19016,755.638,32125769.29297,0
1632546900000,42411.32,42532.64,42404.59,42513.33,1067.023,1632547199999,45311764.73616,11232,595.224,25278449.59307,0
1632547200000,42513.34,42519.39,42443.54,42447.77,644.607,1632547499999,27378760.35830,6653,233.963,9938566.23793,0
1632547500000,42447.77,42472.00,42374.57,42436.00,695.578,1632547799999,29508922.22654,7814,336.023,14257311.76417,0
1632547800000,42436.00,42633.88,42436.00,42606.61,1101.904,1632548099999,46888558.82729,10112,740.263,31497067.71555,0
1632548100000,42606.63,42730.47,42565.95,42669.12,1221.952,1632548399999,52136791.19573,9434,736.884,31443552.00364,0
1632548400000,42669.12,42690.93,42539.49,42540.55,799.025,1632548699999,34033653.66634,7553,194.149,8269827.42029,0
1632548700000,42540.56,42636.34,42539.49,42635.99,424.441,1632548999999,18080895.98272,5784,248.682,10592566.61291,0
1632549000000,42635.98,42655.11,42524.67,42527.92,436.583,1632549299999,18595402.88011,4921,154.937,6600745.05857,0
1632549300000,42527.79,42531.00,42419.43,42428.32,1143.877,1632549599999,48570069.88411,9891,476.961,20251147.97299,0
1632549600000,42428.31,42524.36,42410.31,42454.60,560.443,1632549899999,23800267.28454,6642,318.993,13548064.00205,0
1632549900000,42454.60,42529.18,42453.42,42461.20,619.512,1632550199999,26323937.94981,5578,333.773,14182457.21468,0
1632550200000,42461.20,42524.80,42446.66,42453.65,381.143,1632550499999,16193485.68660,4740,182.540,7755973.06015,0
1632550500000,42455.04,42677.29,42455.03,42638.00,938.122,1632550799999,39966644.74995,8389,573.852,24445419.19759,0
1632550800000,42638.00,42669.98,42549.81,42561.57,500.423,1632551099999,21328636.26996,5391,142.385,6070194.23878,0
1632551100000,42561.57,42644.46,42557.44,42621.59,311.814,1632551399999,13284924.49408,3871,218.691,9317375.61962,0
1632551400000,42621.60,42798.12,42621.56,42673.10,1372.608,1632551699999,58648337.90348,10872,870.247,37185954.60991,0
1632551700000,42673.09,42746.91,42656.63,42709.26,458.629,1632551999999,19579691.58605,4834,256.365,10944905.67004,0
1632552000000,42711.96,42774.12,42660.00,42773.28,662.835,1632552299999,28321960.16443,5734,448.609,19169318.59224,0
1632552300000,42770.77,42800.00,42681.17,42696.15,857.631,1632552599999,36659481.78339,7466,355.665,15205851.71808,0
1632552600000,42696.14,42745.65,42680.32,42724.47,436.390,1632552899999,18634893.45378,5086,229.588,9804144.27147,0
1632552900000,42724.48,42731.87,42673.70,42724.92,404.298,1632553199999,17265244.12307,4261,210.870,9005438.10289,0
1632553200000,42724.92,42769.00,42640.00,42663.86,636.719,1632553499999,27181009.49505,6363,229.783,9813506.88909,0
1632553500000,42663.86,42691.68,42600.00,42609.44,439.506,1632553799999,18739525.76565,5337,160.987,6865407.10378,0
1632553800000,42609.45,42668.51,42599.99,42641.25,431.445,1632554099999,18392746.07976,4910,258.624,11026359.06371,0
1632554100000,42641.25,42644.20,42560.00,42604.50,529.933,1632554399999,22572757.60092,6098,274.331,11685204.30649,0
1632554400000,42604.51,42631.52,42520.24,42536.19,630.639,1632554699999,26839576.46279,7002,286.243,12181228.42796,0
1632554700000,42536.18,42539.75,42311.00,42332.70,2664.885,1632554999999,113053139.77378,18847,992.367,42096912.37355,0
1632555000000,42332.71,42338.41,42172.00,42285.42,2565.575,1632555299999,108395848.01882,21831,1248.328,52746519.65749,0
1632555300000,42285.42,42410.11,42283.12,42321.98,1421.194,1632555599999,60200766.53514,12710,860.196,36438674.42772,0
1632555600000,42321.97,42442.80,42304.70,42398.88,827.844,1632555899999,35091343.26979,9717,455.554,19313050.77137,0
1632555900000,42398.66,42414.00,42350.17,42411.99,546.172,1632556199999,23145372.85096,7211,275.605,11680430.82801,0
1632556200000,42411.99,42515.94,42400.00,42425.63,1235.255,1632556499999,52457570.43149,11225,710.561,30175422.06874,0
1632556500000,42425.63,42435.15,42314.74,42357.97,1108.558,1632556799999,46987106.56761,8978,360.452,15276282.65700,0
1632556800000,42350.10,42509.98,42257.62,42364.63,1586.228,1632557099999,67190906.91931,14043,792.793,33592343.07224,0
1632557100000,42361.81,42380.00,42200.00,42206.04,1815.505,1632557399999,76704485.83985,14805,682.150,28822576.11428,0
1632557400000,42206.04,42325.90,42200.00,42242.00,945.371,1632557699999,39943175.84697,10309,517.229,21856290.40355,0
1632557700000,42242.01,42328.34,42020.00,42086.66,2545.370,1632557999999,107257068.59726,21582,993.877,41883437.51804,0
1632558000000,42088.24,42167.99,42023.11,42105.37,2237.001,1632558299999,94192624.96746,17199,1370.804,57726883.37255,0
1632558300000,42105.36,42175.00,42060.00,42112.51,826.290,1632558599999,34801394.91150,9832,367.377,15475010.89762,0
1632558600000,42112.50,42114.22,41630.26,41680.06,5684.507,1632558899999,237760158.97395,47778,2146.640,89767056.61010,0
1632558900000,41680.06,41829.72,41650.50,41746.50,2493.844,1632559199999,104112750.35906,24534,1363.419,56923660.57010,0
1632559200000,41746.89,41866.30,41711.00,41820.68,1640.546,1632559499999,68576488.01840,16248,886.907,37075646.05993,0
1632559500000,41820.69,42024.12,41730.00,41900.64,2621.719,1632559799999,109859671.52196,23431,1577.443,66104920.79628,0
1632559800000,41900.64,42348.78,41879.24,42336.60,4240.343,1632560099999,178794183.80737,36189,2452.351,103415216.36930,0
1632560100000,42338.35,42765.99,42221.63,42625.40,7000.933,1632560399999,297848485.98185,55192,3793.133,161352219.48017,0
1632560400000,42625.39,42715.47,42485.50,42535.91,2946.271,1632560699999,125432736.22051,28556,1267.321,53956969.76198,0
1632560700000,42534.24,42750.00,42534.23,42541.32,3354.858,1632560999999,143018985.65884,25038,1485.275,63335741.57941,0
1632561000000,42542.45,42590.93,42437.50,42499.93,1700.533,1632561299999,72273281.65266,15977,818.164,34776747.43484,0
1632561300000,42499.94,42600.00,42435.55,42519.26,1385.519,1632561599999,58908527.96561,12507,882.418,37524393.30332,0
1632561600000,42519.99,42666.00,42514.53,42599.33,1622.637,1632561899999,69148092.58109,13107,1044.153,44495394.48539,0
1632561900000,42601.98,42804.72,42535.73,42715.34,2258.324,1632562199999,96454204.77864,18553,1386.340,59221071.39760,0
1632562200000,42715.34,42892.10,42651.88,42822.37,2394.867,1632562499999,102517134.90615,21320,1348.673,57734602.58359,0
1632562500000,42822.37,42885.01,42768.00,42783.73,1705.982,1632562799999,73055686.23572,12344,924.324,39589130.23198,0
1632562800000,42783.73,42796.96,42700.00,42708.07,1069.655,1632563099999,45730532.68843,10224,459.918,19664798.82504,0
1632563100000,42708.40,42740.00,42590.76,42618.02,1393.521,1632563399999,59466846.78255,12063,500.172,21350355.21953,0
1632563400000,42618.03,42669.00,42541.80,42552.55,741.270,1632563699999,31588375.18123,8703,321.906,13721044.25552,0
1632563700000,42552.54,42676.62,42549.96,42632.44,834.964,1632563999999,35590727.73192,7188,552.941,23568071.71235,0
1632564000000,42632.45,42731.84,42626.01,42678.73,694.411,1632564299999,29638062.03552,7380,412.992,17626602.95975,0
1632564300000,42678.72,42874.40,42677.51,42827.99,1523.765,1632564599999,65229058.92026,13443,1014.047,43410202.41502,0
1632564600000,42827.99,42950.00,42796.71,42912.58,2523.992,1632564899999,108294004.62436,18473,1244.513,53398821.37587,0
1632564900000,42912.58,42918.00,42805.00,42851.25,1916.459,1632565199999,82154263.92043,13075,679.433,29113189.39455,0
1632565200000,42851.48,42878.59,42769.71,42846.43,774.128,1632565499999,33146512.86132,7937,411.820,17636067.91395,0
1632565500000,42846.68,42863.58,42800.00,42846.76,401.333,1632565799999,17187706.24755,5203,193.874,8303849.46007,0
1632565800000,42846.75,42882.94,42705.00,42746.20,886.965,1632566099999,37937857.02698,9221,359.827,15392988.57619,0
1632566100000,42743.95,42756.02,42659.00,42683.47,669.232,1632566399999,28577390.99322,7881,298.793,12759957.44290,0
1632566400000,42683.48,42724.94,42647.18,42712.32,899.970,1632566699999,38408009.15470,7685,497.995,21256327.70075,0
1632566700000,42712.33,42725.68,42602.49,42685.78,648.254,1632566999999,27651090.92314,7388,284.425,12135382.86648,0
1632567000000,42685.79,42697.07,42611.30,42670.50,502.145,1632567299999,21419707.09049,6058,289.472,12349327.48003,0
1632567300000,42670.50,42699.99,42577.90,42665.99,562.926,1632567599999,23995587.43598,7876,239.060,10192153.67658,0
